no;name;id
1;Vernetzung_Einzelquelle;ver_ein
1;Vernetzung_Q_system;ver_qsy
1;Vernetzung_Q_komplex;ver_qko
2;Klassierung_naturnah;kla_nat
2;Klassierung_bedingt_naturnah;kla_bed
2;Klassierung_maessig_beeintraechtigt;kla_mae
2;Klassierung_geschaedigt;kla_ges
2;Klassierung_stark_geschaedigt;kla_sta
3;Bewertung_1;be1
3;Bewertung_2;be2
3;Bewertung_3;be3
3;Bewertung_4;be4
3;Bewertung_5;be5
