Stationsname;Stationsnummer;Messortname;Name der Zeitzone;Langname;Name Verwaltungseinheit;Vorgänger;Nachfolger;Stationsausprägung
Selez;UR1205-Q1173;Bürglen (UR);W. Europe Standard Time;Selez;Uri;;;GW_STATION_HAND|GW_STATION
Eggen;UR1205-Q1174;Bürglen (UR);W. Europe Standard Time;Eggen;Uri;;;GW_STATION_HAND|GW_STATION
Mättental;UR1205-Q1175;Bürglen (UR);W. Europe Standard Time;Mättental;Uri;;;GW_STATION_HAND|GW_STATION
Mättental / Oberalp;UR1205-Q1176;Bürglen (UR);W. Europe Standard Time;Mättental / Oberalp;Uri;;;GW_STATION_HAND|GW_STATION
Mättental, Rietbrunnen;UR1205-Q1177;Bürglen (UR);W. Europe Standard Time;Mättental, Rietbrunnen;Uri;;;GW_STATION_HAND|GW_STATION
Mättental / Rotgäntli;UR1205-Q1178;Bürglen (UR);W. Europe Standard Time;Mättental / Rotgäntli;Uri;;;GW_STATION_HAND|GW_STATION
Eggen;UR1205-Q1179;Bürglen (UR);W. Europe Standard Time;Eggen;Uri;;;GW_STATION_HAND|GW_STATION
Eggen;UR1205-Q1180;Bürglen (UR);W. Europe Standard Time;Eggen;Uri;;;GW_STATION_HAND|GW_STATION
Mättental / Alafund;UR1205-Q1181;Bürglen (UR);W. Europe Standard Time;Mättental / Alafund;Uri;;;GW_STATION_HAND|GW_STATION
Alafund / Weidli;UR1205-Q1182;Bürglen (UR);W. Europe Standard Time;Alafund / Weidli;Uri;;;GW_STATION_HAND|GW_STATION
Schindleren;UR1205-Q1183;Bürglen (UR);W. Europe Standard Time;Schindleren;Uri;;;GW_STATION_HAND|GW_STATION
Schindleren;UR1205-Q1184;Bürglen (UR);W. Europe Standard Time;Schindleren;Uri;;;GW_STATION_HAND|GW_STATION
Naien;UR1205-Q1185;Bürglen (UR);W. Europe Standard Time;Naien;Uri;;;GW_STATION_HAND|GW_STATION
Plangg;UR1205-Q1186;Bürglen (UR);W. Europe Standard Time;Plangg;Uri;;;GW_STATION_HAND|GW_STATION
Naien;UR1205-Q1187;Bürglen (UR);W. Europe Standard Time;Naien;Uri;;;GW_STATION_HAND|GW_STATION
Naien;UR1205-Q1188;Bürglen (UR);W. Europe Standard Time;Naien;Uri;;;GW_STATION_HAND|GW_STATION
Matten;UR1205-Q1189;Bürglen (UR);W. Europe Standard Time;Matten;Uri;;;GW_STATION_HAND|GW_STATION
Stein;UR1205-Q1190;Bürglen (UR);W. Europe Standard Time;Stein;Uri;;;GW_STATION_HAND|GW_STATION
Kornmatt;UR1205-Q1191;Bürglen (UR);W. Europe Standard Time;Kornmatt;Uri;;;GW_STATION_HAND|GW_STATION
Stein;UR1205-Q1192;Bürglen (UR);W. Europe Standard Time;Stein;Uri;;;GW_STATION_HAND|GW_STATION
Mätteltal;UR1205-Q1193;Bürglen (UR);W. Europe Standard Time;Mätteltal;Uri;;;GW_STATION_HAND|GW_STATION
Hinter Bachi;UR1205-Q1194;Bürglen (UR);W. Europe Standard Time;Hinter Bachi;Uri;;;GW_STATION_HAND|GW_STATION
Kornmatte;UR1205-Q1195;Bürglen (UR);W. Europe Standard Time;Kornmatte;Uri;;;GW_STATION_HAND|GW_STATION
Kornmatt Weid;UR1205-Q1196;Bürglen (UR);W. Europe Standard Time;Kornmatt Weid;Uri;;;GW_STATION_HAND|GW_STATION
Kornmatt Weid;UR1205-Q1197;Bürglen (UR);W. Europe Standard Time;Kornmatt Weid;Uri;;;GW_STATION_HAND|GW_STATION
Reindli;UR1205-Q1198;Bürglen (UR);W. Europe Standard Time;Reindli;Uri;;;GW_STATION_HAND|GW_STATION
Planzerli;UR1205-Q1199;Bürglen (UR);W. Europe Standard Time;Planzerli;Uri;;;GW_STATION_HAND|GW_STATION
Chessel;UR1205-Q1200;Bürglen (UR);W. Europe Standard Time;Chessel;Uri;;;GW_STATION_HAND|GW_STATION
Bifang;UR1205-Q1201;Bürglen (UR);W. Europe Standard Time;Bifang;Uri;;;GW_STATION_HAND|GW_STATION
Schachen;UR1205-Q1202;Bürglen (UR);W. Europe Standard Time;Schachen;Uri;;;GW_STATION_HAND|GW_STATION
Schachen;UR1205-Q1203;Bürglen (UR);W. Europe Standard Time;Schachen;Uri;;;GW_STATION_HAND|GW_STATION
Glattenried;UR1205-Q1204;Bürglen (UR);W. Europe Standard Time;Glattenried;Uri;;;GW_STATION_HAND|GW_STATION
Aennetschächen;UR1205-Q1205;Bürglen (UR);W. Europe Standard Time;Aennetschächen;Uri;;;GW_STATION_HAND|GW_STATION
Aennetschächen;UR1205-Q1206;Bürglen (UR);W. Europe Standard Time;Aennetschächen;Uri;;;GW_STATION_HAND|GW_STATION
Aennetschächen;UR1205-Q1207;Bürglen (UR);W. Europe Standard Time;Aennetschächen;Uri;;;GW_STATION_HAND|GW_STATION
Aennetschächen;UR1205-Q1208;Bürglen (UR);W. Europe Standard Time;Aennetschächen;Uri;;;GW_STATION_HAND|GW_STATION
Leen;UR1205-Q1209;Bürglen (UR);W. Europe Standard Time;Leen;Uri;;;GW_STATION_HAND|GW_STATION
Schroten;UR1205-Q1210;Bürglen (UR);W. Europe Standard Time;Schroten;Uri;;;GW_STATION_HAND|GW_STATION
Schroten;UR1205-Q1211;Bürglen (UR);W. Europe Standard Time;Schroten;Uri;;;GW_STATION_HAND|GW_STATION
Platiwald;UR1205-Q1212;Bürglen (UR);W. Europe Standard Time;Platiwald;Uri;;;GW_STATION_HAND|GW_STATION
Platti;UR1205-Q1213;Bürglen (UR);W. Europe Standard Time;Platti;Uri;;;GW_STATION_HAND|GW_STATION
Platti;UR1205-Q1214;Bürglen (UR);W. Europe Standard Time;Platti;Uri;;;GW_STATION_HAND|GW_STATION
Platti;UR1205-Q1215;Bürglen (UR);W. Europe Standard Time;Platti;Uri;;;GW_STATION_HAND|GW_STATION
Platti;UR1205-Q1216;Bürglen (UR);W. Europe Standard Time;Platti;Uri;;;GW_STATION_HAND|GW_STATION
Platti;UR1205-Q1217;Bürglen (UR);W. Europe Standard Time;Platti;Uri;;;GW_STATION_HAND|GW_STATION
Plattiwald;UR1205-Q1218;Bürglen (UR);W. Europe Standard Time;Plattiwald;Uri;;;GW_STATION_HAND|GW_STATION
Plattiwald;UR1205-Q1219;Bürglen (UR);W. Europe Standard Time;Plattiwald;Uri;;;GW_STATION_HAND|GW_STATION
Guggibach;UR1205-Q1220;Bürglen (UR);W. Europe Standard Time;Guggibach;Uri;;;GW_STATION_HAND|GW_STATION
Planzerli;UR1205-Q1221;Bürglen (UR);W. Europe Standard Time;Planzerli;Uri;;;GW_STATION_HAND|GW_STATION
Planzern;UR1205-Q1222;Bürglen (UR);W. Europe Standard Time;Planzern;Uri;;;GW_STATION_HAND|GW_STATION
Bieler;UR1205-Q1223;Bürglen (UR);W. Europe Standard Time;Bieler;Uri;;;GW_STATION_HAND|GW_STATION
Planzerli;UR1205-Q1224;Bürglen (UR);W. Europe Standard Time;Planzerli;Uri;;;GW_STATION_HAND|GW_STATION
Planzerli;UR1205-Q1225;Bürglen (UR);W. Europe Standard Time;Planzerli;Uri;;;GW_STATION_HAND|GW_STATION
Vorder Rietlig;UR1205-Q1226;Bürglen (UR);W. Europe Standard Time;Vorder Rietlig;Uri;;;GW_STATION_HAND|GW_STATION
Vorder Rietlig;UR1205-Q1227;Bürglen (UR);W. Europe Standard Time;Vorder Rietlig;Uri;;;GW_STATION_HAND|GW_STATION
Vorder Rietlig;UR1205-Q1228;Bürglen (UR);W. Europe Standard Time;Vorder Rietlig;Uri;;;GW_STATION_HAND|GW_STATION
Rietlig;UR1205-Q1229;Bürglen (UR);W. Europe Standard Time;Rietlig;Uri;;;GW_STATION_HAND|GW_STATION
Hammerli;UR1205-Q1230;Bürglen (UR);W. Europe Standard Time;Hammerli;Uri;;;GW_STATION_HAND|GW_STATION
Hammerli;UR1205-Q1231;Bürglen (UR);W. Europe Standard Time;Hammerli;Uri;;;GW_STATION_HAND|GW_STATION
Hammerli;UR1205-Q1232;Bürglen (UR);W. Europe Standard Time;Hammerli;Uri;;;GW_STATION_HAND|GW_STATION
Eggenbergli;UR1205-Q1233;Bürglen (UR);W. Europe Standard Time;Eggenbergli;Uri;;;GW_STATION_HAND|GW_STATION
Eggenbergli;UR1205-Q1234;Bürglen (UR);W. Europe Standard Time;Eggenbergli;Uri;;;GW_STATION_HAND|GW_STATION
Spisswald;UR1205-Q1235;Bürglen (UR);W. Europe Standard Time;Spisswald;Uri;;;GW_STATION_HAND|GW_STATION
Oberalp;UR1205-Q1236;Bürglen (UR);W. Europe Standard Time;Oberalp;Uri;;;GW_STATION_HAND|GW_STATION
Oberalp;UR1205-Q1237;Bürglen (UR);W. Europe Standard Time;Oberalp;Uri;;;GW_STATION_HAND|GW_STATION
Oberalp;UR1205-Q1238;Bürglen (UR);W. Europe Standard Time;Oberalp;Uri;;;GW_STATION_HAND|GW_STATION
Oberalp;UR1205-Q1239;Bürglen (UR);W. Europe Standard Time;Oberalp;Uri;;;GW_STATION_HAND|GW_STATION
Hinter Mättental;UR1205-Q1240;Bürglen (UR);W. Europe Standard Time;Hinter Mättental;Uri;;;GW_STATION_HAND|GW_STATION
Oberalp;UR1205-Q1241;Bürglen (UR);W. Europe Standard Time;Oberalp;Uri;;;GW_STATION_HAND|GW_STATION
Hinter Mättental;UR1205-Q1242;Bürglen (UR);W. Europe Standard Time;Hinter Mättental;Uri;;;GW_STATION_HAND|GW_STATION
Hinter Mättental;UR1205-Q1243;Bürglen (UR);W. Europe Standard Time;Hinter Mättental;Uri;;;GW_STATION_HAND|GW_STATION
Hinter Mättental;UR1205-Q1244;Bürglen (UR);W. Europe Standard Time;Hinter Mättental;Uri;;;GW_STATION_HAND|GW_STATION
Butzli;UR1205-Q1245;Bürglen (UR);W. Europe Standard Time;Butzli;Uri;;;GW_STATION_HAND|GW_STATION
Butzli;UR1205-Q1246;Bürglen (UR);W. Europe Standard Time;Butzli;Uri;;;GW_STATION_HAND|GW_STATION
Butzli;UR1205-Q1247;Bürglen (UR);W. Europe Standard Time;Butzli;Uri;;;GW_STATION_HAND|GW_STATION
Butzli;UR1205-Q1248;Bürglen (UR);W. Europe Standard Time;Butzli;Uri;;;GW_STATION_HAND|GW_STATION
Butzli;UR1205-Q1249;Bürglen (UR);W. Europe Standard Time;Butzli;Uri;;;GW_STATION_HAND|GW_STATION
Schipfi;UR1205-Q1250;Bürglen (UR);W. Europe Standard Time;Schipfi;Uri;;;GW_STATION_HAND|GW_STATION
Schipfi;UR1205-Q1251;Bürglen (UR);W. Europe Standard Time;Schipfi;Uri;;;GW_STATION_HAND|GW_STATION
Schipfi;UR1205-Q1252;Bürglen (UR);W. Europe Standard Time;Schipfi;Uri;;;GW_STATION_HAND|GW_STATION
Brunni;UR1205-Q1253;Bürglen (UR);W. Europe Standard Time;Brunni;Uri;;;GW_STATION_HAND|GW_STATION
Galtenäbnet;UR1205-Q1254;Bürglen (UR);W. Europe Standard Time;Galtenäbnet;Uri;;;GW_STATION_HAND|GW_STATION
Pfaffenwald;UR1205-Q1255;Bürglen (UR);W. Europe Standard Time;Pfaffenwald;Uri;;;GW_STATION_HAND|GW_STATION
Pfaffenwald;UR1205-Q1256;Bürglen (UR);W. Europe Standard Time;Pfaffenwald;Uri;;;GW_STATION_HAND|GW_STATION
Kornmatt Weid;UR1205-Q1257;Bürglen (UR);W. Europe Standard Time;Kornmatt Weid;Uri;;;GW_STATION_HAND|GW_STATION
Schattigäbach, Riedertal;UR1205-Q5001;Bürglen (UR);W. Europe Standard Time;Schattigäbach, Riedertal;Uri;;;GW_STATION_HAND
Schattigäwald, Riedertal;UR1205-Q5002;Bürglen (UR);W. Europe Standard Time;Schattigäwald, Riedertal;Uri;;;GW_STATION_HAND
Bittleten;UR1205-Q5003;Bürglen (UR);W. Europe Standard Time;Bittleten;Uri;;;GW_STATION_HAND
unter Bittleten;UR1205-Q5004;Bürglen (UR);W. Europe Standard Time;unter Bittleten;Uri;;;GW_STATION_HAND
Tunnel Bittleten;UR1205-Q5005;Bürglen (UR);W. Europe Standard Time;Tunnel Bittleten;Uri;;;GW_STATION_HAND
Tunnel Bittleten;UR1205-Q5006;Bürglen (UR);W. Europe Standard Time;Tunnel Bittleten;Uri;;;GW_STATION_HAND
Tunnel Bittleten;UR1205-Q5007;Bürglen (UR);W. Europe Standard Time;Tunnel Bittleten;Uri;;;GW_STATION_HAND
Tunnel Bittleten;UR1205-Q5008;Bürglen (UR);W. Europe Standard Time;Tunnel Bittleten;Uri;;;GW_STATION_HAND
Tunnel Bittleten;UR1205-Q5009;Bürglen (UR);W. Europe Standard Time;Tunnel Bittleten;Uri;;;GW_STATION_HAND
Tunnel Bittleten;UR1205-Q5010;Bürglen (UR);W. Europe Standard Time;Tunnel Bittleten;Uri;;;GW_STATION_HAND
Tunnel Bittleten;UR1205-Q5011;Bürglen (UR);W. Europe Standard Time;Tunnel Bittleten;Uri;;;GW_STATION_HAND
Tunnel Bittleten;UR1205-Q5012;Bürglen (UR);W. Europe Standard Time;Tunnel Bittleten;Uri;;;GW_STATION_HAND
Tunnel Bittleten;UR1205-Q5013;Bürglen (UR);W. Europe Standard Time;Tunnel Bittleten;Uri;;;GW_STATION_HAND
Tunnel Bittleten;UR1205-Q5014;Bürglen (UR);W. Europe Standard Time;Tunnel Bittleten;Uri;;;GW_STATION_HAND
Tunnel Bittleten;UR1205-Q5015;Bürglen (UR);W. Europe Standard Time;Tunnel Bittleten;Uri;;;GW_STATION_HAND
Haldenbachweg;UR1205-Q5016;Bürglen (UR);W. Europe Standard Time;Haldenbachweg;Uri;;;GW_STATION_HAND
Änermatt;UR1205-Q5017;Bürglen (UR);W. Europe Standard Time;Änermatt;Uri;;;GW_STATION_HAND
Vorder / Hinter Wissenboden;UR1205-Q5018;Bürglen (UR);W. Europe Standard Time;Vorder / Hinter Wissenboden;Uri;;;GW_STATION_HAND
Hinterer Wissenboden;UR1205-Q5019;Bürglen (UR);W. Europe Standard Time;Hinterer Wissenboden;Uri;;;GW_STATION_HAND
Hinterer Wissenboden;UR1205-Q5020;Bürglen (UR);W. Europe Standard Time;Hinterer Wissenboden;Uri;;;GW_STATION_HAND
Eggen / Stelli / Wissenboden;UR1205-Q5021;Bürglen (UR);W. Europe Standard Time;Eggen / Stelli / Wissenboden;Uri;;;GW_STATION_HAND
Eggen;UR1205-Q5022;Bürglen (UR);W. Europe Standard Time;Eggen;Uri;;;GW_STATION_HAND
Eggen / Wissenboden;UR1205-Q5023;Bürglen (UR);W. Europe Standard Time;Eggen / Wissenboden;Uri;;;GW_STATION_HAND
Eggen / Wissenboden;UR1205-Q5024;Bürglen (UR);W. Europe Standard Time;Eggen / Wissenboden;Uri;;;GW_STATION_HAND
Eggen;UR1205-Q5025;Bürglen (UR);W. Europe Standard Time;Eggen;Uri;;;GW_STATION_HAND
Zopfen;UR1205-Q5026;Bürglen (UR);W. Europe Standard Time;Zopfen;Uri;;;GW_STATION_HAND
Zopfen / Biel;UR1205-Q5027;Bürglen (UR);W. Europe Standard Time;Zopfen / Biel;Uri;;;GW_STATION_HAND
Biel / Eggen;UR1205-Q5028;Bürglen (UR);W. Europe Standard Time;Biel / Eggen;Uri;;;GW_STATION_HAND
Vorderer Wissenboden;UR1205-Q5029;Bürglen (UR);W. Europe Standard Time;Vorderer Wissenboden;Uri;;;GW_STATION_HAND
Wissenboden / Biel;UR1205-Q5030;Bürglen (UR);W. Europe Standard Time;Wissenboden / Biel;Uri;;;GW_STATION_HAND
Vorderer Wissenboden;UR1205-Q5031;Bürglen (UR);W. Europe Standard Time;Vorderer Wissenboden;Uri;;;GW_STATION_HAND
Biel;UR1205-Q5032;Bürglen (UR);W. Europe Standard Time;Biel;Uri;;;GW_STATION_HAND
Rophaien;UR1205-Q5033;Bürglen (UR);W. Europe Standard Time;Rophaien;Uri;;;GW_STATION_HAND
Rabismatt (?);UR1205-Q5034;Bürglen (UR);W. Europe Standard Time;Rabismatt (?);Uri;;;GW_STATION_HAND
In der Stehle;UR1205-Q5035;Bürglen (UR);W. Europe Standard Time;In der Stehle;Uri;;;GW_STATION_HAND
In der Stehle;UR1205-Q5036;Bürglen (UR);W. Europe Standard Time;In der Stehle;Uri;;;GW_STATION_HAND
Ruogig;UR1205-Q5037;Bürglen (UR);W. Europe Standard Time;Ruogig;Uri;;;GW_STATION_HAND
Ruogig;UR1205-Q5038;Bürglen (UR);W. Europe Standard Time;Ruogig;Uri;;;GW_STATION_HAND
Selez;UR1205-Q5039;Bürglen (UR);W. Europe Standard Time;Selez;Uri;;;GW_STATION_HAND
Selez;UR1205-Q5040;Bürglen (UR);W. Europe Standard Time;Selez;Uri;;;GW_STATION_HAND
Selez;UR1205-Q5041;Bürglen (UR);W. Europe Standard Time;Selez;Uri;;;GW_STATION_HAND
Selez;UR1205-Q5042;Bürglen (UR);W. Europe Standard Time;Selez;Uri;;;GW_STATION_HAND
Selez;UR1205-Q5043;Bürglen (UR);W. Europe Standard Time;Selez;Uri;;;GW_STATION_HAND
Selez;UR1205-Q5044;Bürglen (UR);W. Europe Standard Time;Selez;Uri;;;GW_STATION_HAND
Selez / Chalberweid;UR1205-Q5045;Bürglen (UR);W. Europe Standard Time;Selez / Chalberweid;Uri;;;GW_STATION_HAND
Selez / Fruttwald;UR1205-Q5046;Bürglen (UR);W. Europe Standard Time;Selez / Fruttwald;Uri;;;GW_STATION_HAND
Selez;UR1205-Q5047;Bürglen (UR);W. Europe Standard Time;Selez;Uri;;;GW_STATION_HAND
Chueboden;UR1205-Q5048;Bürglen (UR);W. Europe Standard Time;Chueboden;Uri;;;GW_STATION_HAND
Hoch Biel;UR1205-Q5049;Bürglen (UR);W. Europe Standard Time;Hoch Biel;Uri;;;GW_STATION_HAND
Ober Frutt;UR1205-Q5050;Bürglen (UR);W. Europe Standard Time;Ober Frutt;Uri;;;GW_STATION_HAND
Schlosshütte;UR1205-Q5051;Bürglen (UR);W. Europe Standard Time;Schlosshütte;Uri;;;GW_STATION_HAND
Schafbiel / Wängi;UR1205-Q5052;Bürglen (UR);W. Europe Standard Time;Schafbiel / Wängi;Uri;;;GW_STATION_HAND
Lauwi;UR1205-Q5053;Bürglen (UR);W. Europe Standard Time;Lauwi;Uri;;;GW_STATION_HAND
Lauwi;UR1205-Q5054;Bürglen (UR);W. Europe Standard Time;Lauwi;Uri;;;GW_STATION_HAND
Lauwi;UR1205-Q5055;Bürglen (UR);W. Europe Standard Time;Lauwi;Uri;;;GW_STATION_HAND
A dr First;UR1205-Q5056;Bürglen (UR);W. Europe Standard Time;A dr First;Uri;;;GW_STATION_HAND
Chinzertal;UR1205-Q5057;Bürglen (UR);W. Europe Standard Time;Chinzertal;Uri;;;GW_STATION_HAND
Chinzertalbach;UR1205-Q5058;Bürglen (UR);W. Europe Standard Time;Chinzertalbach;Uri;;;GW_STATION_HAND
Schafbiel;UR1205-Q5059;Bürglen (UR);W. Europe Standard Time;Schafbiel;Uri;;;GW_STATION_HAND
Grossboden;UR1205-Q5060;Bürglen (UR);W. Europe Standard Time;Grossboden;Uri;;;GW_STATION_HAND
Mättental;UR1205-Q5061;Bürglen (UR);W. Europe Standard Time;Mättental;Uri;;;GW_STATION_HAND
Mättental;UR1205-Q5062;Bürglen (UR);W. Europe Standard Time;Mättental;Uri;;;GW_STATION_HAND
Mättental / Eggen;UR1205-Q5063;Bürglen (UR);W. Europe Standard Time;Mättental / Eggen;Uri;;;GW_STATION_HAND
Selez;UR1205-Q5064;Bürglen (UR);W. Europe Standard Time;Selez;Uri;;;GW_STATION_HAND
Selez;UR1205-Q5065;Bürglen (UR);W. Europe Standard Time;Selez;Uri;;;GW_STATION_HAND
Selez;UR1205-Q5066;Bürglen (UR);W. Europe Standard Time;Selez;Uri;;;GW_STATION_HAND
Schwand;UR1205-Q5067;Bürglen (UR);W. Europe Standard Time;Schwand;Uri;;;GW_STATION_HAND
Rietlig;UR1205-Q5068;Bürglen (UR);W. Europe Standard Time;Rietlig;Uri;;;GW_STATION_HAND
Ruogig;UR1205-Q5069;Bürglen (UR);W. Europe Standard Time;Ruogig;Uri;;;GW_STATION_HAND
Lücken;UR1205-Q5070;Bürglen (UR);W. Europe Standard Time;Lücken;Uri;;;GW_STATION_HAND
Eggen;UR1205-Q5071;Bürglen (UR);W. Europe Standard Time;Eggen;Uri;;;GW_STATION_HAND
Eggen;UR1205-Q5072;Bürglen (UR);W. Europe Standard Time;Eggen;Uri;;;GW_STATION_HAND
Schindleren;UR1205-Q5073;Bürglen (UR);W. Europe Standard Time;Schindleren;Uri;;;GW_STATION_HAND
Aennetschächen;UR1205-Q5074;Bürglen (UR);W. Europe Standard Time;Aennetschächen;Uri;;;GW_STATION_HAND
Vorder Bachli;UR1205-Q5075;Bürglen (UR);W. Europe Standard Time;Vorder Bachli;Uri;;;GW_STATION_HAND
Schipfi;UR1205-Q5076;Bürglen (UR);W. Europe Standard Time;Schipfi;Uri;;;GW_STATION_HAND
Vorderes Plätteli;UR1206-Q1001;Erstfeld;W. Europe Standard Time;Vorderes Plätteli;Uri;;;GW_STATION_HAND|GW_STATION
Plätteli;UR1206-Q1002;Erstfeld;W. Europe Standard Time;Plätteli;Uri;;;GW_STATION_HAND|GW_STATION
Girenbiel;UR1206-Q1003;Erstfeld;W. Europe Standard Time;Girenbiel;Uri;;;GW_STATION_HAND|GW_STATION
Nollen ob Bitzi;UR1206-Q1004;Erstfeld;W. Europe Standard Time;Nollen ob Bitzi;Uri;;;GW_STATION_HAND|GW_STATION
Schwandiberg, Pumphaus;UR1206-Q1005;Erstfeld;W. Europe Standard Time;Schwandiberg, Pumphaus;Uri;;;GW_STATION_HAND|GW_STATION
Schwandiberg;UR1206-Q1006;Erstfeld;W. Europe Standard Time;Schwandiberg;Uri;;;GW_STATION_HAND|GW_STATION
Gunten, Schwandiberg;UR1206-Q1007;Erstfeld;W. Europe Standard Time;Gunten, Schwandiberg;Uri;;;GW_STATION_HAND|GW_STATION
Schwandiberg;UR1206-Q1008;Erstfeld;W. Europe Standard Time;Schwandiberg;Uri;;;GW_STATION_HAND|GW_STATION
Schwandiberg;UR1206-Q1009;Erstfeld;W. Europe Standard Time;Schwandiberg;Uri;;;GW_STATION_HAND|GW_STATION
Brunnenberg;UR1206-Q1010;Erstfeld;W. Europe Standard Time;Brunnenberg;Uri;;;GW_STATION_HAND|GW_STATION
Chelli;UR1206-Q1011;Erstfeld;W. Europe Standard Time;Chelli;Uri;;;GW_STATION_HAND|GW_STATION
ob Schwandi;UR1206-Q1012;Erstfeld;W. Europe Standard Time;ob Schwandi;Uri;;;GW_STATION_HAND|GW_STATION
Schwandiberg;UR1206-Q1013;Erstfeld;W. Europe Standard Time;Schwandiberg;Uri;;;GW_STATION_HAND|GW_STATION
Bocki / Streueriss;UR1206-Q1014;Erstfeld;W. Europe Standard Time;Bocki / Streueriss;Uri;;;GW_STATION_HAND|GW_STATION
Sackberg;UR1206-Q1015;Erstfeld;W. Europe Standard Time;Sackberg;Uri;;;GW_STATION_HAND|GW_STATION
Hüseriberg Wasserloch;UR1206-Q1016;Erstfeld;W. Europe Standard Time;Hüseriberg Wasserloch;Uri;;;GW_STATION_HAND|GW_STATION
Hüseriberg;UR1206-Q1017;Erstfeld;W. Europe Standard Time;Hüseriberg;Uri;;;GW_STATION_HAND|GW_STATION
Chleibergli;UR1206-Q1018;Erstfeld;W. Europe Standard Time;Chleibergli;Uri;;;GW_STATION_HAND|GW_STATION
Bocki / Zieriberg;UR1206-Q1019;Erstfeld;W. Europe Standard Time;Bocki / Zieriberg;Uri;;;GW_STATION_HAND|GW_STATION
Zieriberg;UR1206-Q1020;Erstfeld;W. Europe Standard Time;Zieriberg;Uri;;;GW_STATION_HAND|GW_STATION
Zieriberg;UR1206-Q1021;Erstfeld;W. Europe Standard Time;Zieriberg;Uri;;;GW_STATION_HAND|GW_STATION
Zieriberg;UR1206-Q1022;Erstfeld;W. Europe Standard Time;Zieriberg;Uri;;;GW_STATION_HAND|GW_STATION
Bockiberg;UR1206-Q1023;Erstfeld;W. Europe Standard Time;Bockiberg;Uri;;;GW_STATION_HAND|GW_STATION
Bockiberg;UR1206-Q1024;Erstfeld;W. Europe Standard Time;Bockiberg;Uri;;;GW_STATION_HAND|GW_STATION
Bockiberg;UR1206-Q1025;Erstfeld;W. Europe Standard Time;Bockiberg;Uri;;;GW_STATION_HAND|GW_STATION
Hüseriberg;UR1206-Q1026;Erstfeld;W. Europe Standard Time;Hüseriberg;Uri;;;GW_STATION_HAND|GW_STATION
Bockiberg;UR1206-Q1027;Erstfeld;W. Europe Standard Time;Bockiberg;Uri;;;GW_STATION_HAND|GW_STATION
Bockiberg;UR1206-Q1028;Erstfeld;W. Europe Standard Time;Bockiberg;Uri;;;GW_STATION_HAND|GW_STATION
Riseli;UR1206-Q1029;Erstfeld;W. Europe Standard Time;Riseli;Uri;;;GW_STATION_HAND|GW_STATION
Ämmeten;UR1206-Q1030;Erstfeld;W. Europe Standard Time;Ämmeten;Uri;;;GW_STATION_HAND|GW_STATION
Ämmeten;UR1206-Q1031;Erstfeld;W. Europe Standard Time;Ämmeten;Uri;;;GW_STATION_HAND|GW_STATION
Ämmeten;UR1206-Q1032;Erstfeld;W. Europe Standard Time;Ämmeten;Uri;;;GW_STATION_HAND|GW_STATION
Ämmeten;UR1206-Q1033;Erstfeld;W. Europe Standard Time;Ämmeten;Uri;;;GW_STATION_HAND|GW_STATION
Ämmeten;UR1206-Q1034;Erstfeld;W. Europe Standard Time;Ämmeten;Uri;;;GW_STATION_HAND|GW_STATION
Ämmeten;UR1206-Q1035;Erstfeld;W. Europe Standard Time;Ämmeten;Uri;;;GW_STATION_HAND|GW_STATION
Fad;UR1206-Q1036;Erstfeld;W. Europe Standard Time;Fad;Uri;;;GW_STATION_HAND|GW_STATION
Oberwiler;UR1206-Q1037;Erstfeld;W. Europe Standard Time;Oberwiler;Uri;;;GW_STATION_HAND|GW_STATION
Oberwiler;UR1206-Q1038;Erstfeld;W. Europe Standard Time;Oberwiler;Uri;;;GW_STATION_HAND|GW_STATION
Oberwiler;UR1206-Q1039;Erstfeld;W. Europe Standard Time;Oberwiler;Uri;;;GW_STATION_HAND|GW_STATION
Oberwiler;UR1206-Q1040;Erstfeld;W. Europe Standard Time;Oberwiler;Uri;;;GW_STATION_HAND|GW_STATION
Bogli;UR1206-Q1041;Erstfeld;W. Europe Standard Time;Bogli;Uri;;;GW_STATION_HAND|GW_STATION
Bogli;UR1206-Q1042;Erstfeld;W. Europe Standard Time;Bogli;Uri;;;GW_STATION_HAND|GW_STATION
Bogli;UR1206-Q1043;Erstfeld;W. Europe Standard Time;Bogli;Uri;;;GW_STATION_HAND|GW_STATION
Rüteli;UR1206-Q1044;Erstfeld;W. Europe Standard Time;Rüteli;Uri;;;GW_STATION_HAND|GW_STATION
Rüteli;UR1206-Q1045;Erstfeld;W. Europe Standard Time;Rüteli;Uri;;;GW_STATION_HAND|GW_STATION
Rüteli;UR1206-Q1046;Erstfeld;W. Europe Standard Time;Rüteli;Uri;;;GW_STATION_HAND|GW_STATION
Wilerli;UR1206-Q1047;Erstfeld;W. Europe Standard Time;Wilerli;Uri;;;GW_STATION_HAND|GW_STATION
Schopfen;UR1206-Q1048;Erstfeld;W. Europe Standard Time;Schopfen;Uri;;;GW_STATION_HAND|GW_STATION
Schopfen;UR1206-Q1049;Erstfeld;W. Europe Standard Time;Schopfen;Uri;;;GW_STATION_HAND|GW_STATION
Hellberg;UR1206-Q1050;Erstfeld;W. Europe Standard Time;Hellberg;Uri;;;GW_STATION_HAND|GW_STATION
Hellberg;UR1206-Q1051;Erstfeld;W. Europe Standard Time;Hellberg;Uri;;;GW_STATION_HAND|GW_STATION
